Query,RetrievedDocuments
301,FBIS4-41684 FBIS3-19199 FBIS3-19646 FBIS3-21961 FBIS3-55219 FBIS3-26415 FBIS3-41247 FBIS4-54904 FBIS4-43965 FBIS4-62079 
302,LA043090-0036 FBIS4-67701 FBIS4-30637 LA031489-0032 FBIS4-67720 FR940126-2-00106 FBIS3-41672 LA082490-0065 FT924-10652 FBIS3-60404 
303,LA041990-0151 FT921-7107 LA051490-0110 LA122990-0029 FT931-6554 FT941-15661 LA063090-0004 FT944-128 LA112190-0043 LA042590-0135 
304,FR940616-0-00132 LA051890-0005 FR940706-2-00012 FR940617-0-00104 FR940930-2-00144 FR941006-2-00015 FR941107-2-00050 FR941227-2-00087 FR940203-2-00010 FR940127-1-00058 
305,LA112489-0003 FBIS3-59951 LA102790-0086 LA031689-0177 FBIS3-42518 FT944-9883 FT943-4371 FT922-8929 FBIS4-45230 FBIS3-10115 
306,LA021790-0114 FT942-9707 FBIS4-28901 FBIS3-44115 LA091090-0110 FBIS4-43969 FBIS3-940 FBIS3-25118 FT942-3499 FBIS4-23790 
307,FBIS4-21356 FBIS3-6545 FBIS3-47058 FBIS3-20608 FR941219-2-00086 FBIS4-31456 FBIS3-6987 FT922-9507 FBIS4-57078 FBIS4-33116 
308,LA070489-0051 FR940214-1-00036 LA011590-0099 FR941027-2-00067 FT923-1500 FT941-16178 FT943-6763 FT942-1384 LA120789-0015 FT941-15101 
309,LA082490-0024 LA091089-0074 LA040189-0066 LA102190-0016 FT944-5473 LA101889-0007 LA041990-0241 LA072889-0063 LA041690-0071 LA111890-0260 
310,FT931-11958 LA100889-0041 FT922-289 FT942-4556 FT922-15435 LA122490-0040 FT944-1542 LA030589-0277 FT922-3969 FT932-3267 
311,FT931-3928 FBIS4-19393 FBIS3-58751 FT944-15440 FT944-8837 FT933-9676 FT942-12842 FBIS3-15092 FT933-8481 FT933-11094 
312,LA051090-0097 LA040289-0050 LA052490-0029 FBIS4-67023 FT932-13105 LA041289-0085 FR940830-2-00026 LA102490-0077 LA041289-0119 FT941-1060 
