id,text,class
0,"I can imagine the allure, for some of these loser douchebags, of patterning themselves after someone like Donald Trump, who at least carries himself like a winner. But what kind of abject sucktoad do you have to be to see Donald Trump JUNIOR as an aspirational figure? ",Politics
1,Just now watched debates on Garbage issue..seems it’s slowly spinning into political conspiracy..It’s crucial to note that most of Govt welfare schemes r routed through banks.. r these Garbage politics targeting goodwill n successful implementation of schemes by of   garu,Politics
2,Shadow Environment Secretary  has quoted League polling and said: “We need to close the loopholes so fox hunting can be consigned to the history books where it belongs.” Read more below ,Politics
3,"Friends, Do tune into this candid conversation with the good Abhinav Bhai. 🙏",Politics
4,The American people only want President Trump! ,Politics
5,#JTISindh_TarbiyatiEjtima #JUI Maulana had earlier said that the rulers would be the rulers who wanted to end Maula… ,Politics
6,"Beniwal welcomed new Farm laws....  3 months later, Beniwal quits NDA because he is unhappy with Farm laws...  Indian p…",Politics
7,The American people only want President Trump! ,Politics
8,You are absolutely correct  .   played politics before the election and did nothing to pass a Covid relief bill. Veto the bill Mr. President.,Politics
9,#JTISindh_TarbiyatiEjtima #Jui Maulana had earlier said that the rulers would be the rulers who wanted to end Maulana's politics. Today it is going to end by the grace of Allah Himself,Politics
10,"PM Sh ’s love and respect for the farming community and the people of #JammuAndKashmir reflected in the ""Pheran"" attire worn by him while inaugurating AYUSHMAN-SEHAT scheme for the UT. #VocalForLocal  ",Politics
11,"A day before unemployment benefits for millions of Americans were set to expire, Donald Trump had a different insult in mind: his former-model wife has yet to appear on the cover of a fashion magazine as first lady.  ",Politics
12,Genuinely confused how a party that's decided to be proud of killing off countless seniors can still exist in Florida. ,Politics
13,"Congress,   simply don't give a shit what the the people want or think.  This is spurring a… ",Politics
14,"Yeah well, fuck you pop pop and everybody who looks like you ",Politics
15,"MAGA, folks.",Politics
16,"Sentinel: “Fred Piccolo, spokesman for Gov. Ron DeSantis, deactivated his Twitter account Wednesday after he tweeted in the middle of night that photos of each dead COVID-19 victim should be balanced with 99 photos of people who survive the disease.” ",Politics
17,New York Times‘ Reporting Blackout on Swalwell-Spy Ties Continues  via ,Politics
18,hmPH! “orange man bad” politics is to often the code for someone strongly supports center-left policies at best… ,Politics
19,Second federal probe was launched into Hunter Biden in Pittsburgh after Rudy Giuliani gathered info ,Politics
20,"If Texas turns blue, can Republicans ever win the White House again? | Just The News ",Politics
21," when trump became president, I became interest in politics, I knew it would be terrible. turns I was r… ",Politics
22,"If you’re riding the #TrumpTrain, you really oughta know: its conductor jumped off miles back and the line is heading for a steep cliff. ",Politics
23,Johnson telling us the Brexit deal is his “present” to us. Gove telling us it will put an end to “ugly politics”. The two ugliest men in British politics insisting they’ve done us a favour. Not sure anything shouts ‘We’ve fucked it!’ much louder. A double act of vile dishonesty.,Politics
24,"So  truly is a 'mini-tRump' in that he also surrounds himself with scum. Fred Piccolo claims he was ""deleting his account anyway' aka no remorse, no apology for his highly offensive tweet. Then again, he &amp; #DeathSantis have been downplaying the pandemic all along.",Politics
25,"Beniwal welcomed new Farm laws....  3 months later, Beniwal quits NDA because he is unhappy with Farm laws...  Indian p…",Politics
26,"Sentinel: “Fred Piccolo, spokesman for Gov. Ron DeSantis, deactivated his Twitter account Wednesday after he tweeted in the middle of night that photos of each dead COVID-19 victim should be balanced with 99 photos of people who survive the disease.” ",Politics
27,Giuliani promises the Trump election challenge is going to blow up! We seek justice! The traitors have been exposed! We will never give up!   ,Politics
28," !!!! u're my fav mooties we talk a lot not just abt kpop but literally everything including politics,… ",Politics
29,We know the Trump Administration chose politics over our lives.  We have proof.  They decided to put their plan for reelection ahead of a plan to beat #COVID19  They could've sided w the American ppl Instead they sided with the virus.  #DemVoice1 ,Politics
30,An #Oscars Winner Made a #JamalKhashoggi #Documentary. Streaming Services like   Didn’t Want It.… ,Politics
31,I’m only gonna say this once.... DO NOT trust anyone that has been in or around Washington DC and politics or institutions...NO ONE!!! They will sound good on twitter or TV but it’s a show!!!! Trust  THAT’S IT!!!!,Politics
32,"Since 1995, Kelly Loeffler's family's farms have collected $3.2 million in federal subsidies. ",Politics
33,Today is a terrible day that should not have come. Up to 14 million jobless workers will be cut off of federal CARES Act benefits that President Trump has chosen to let expire if he does not sign the #ReliefCantWait stimulus bill today. 🧵  ,Politics
34,"FEAR: Supreme Court in no hurry to hear  campaign case, sets response deadline two days after inauguration  #FoxNews",Politics
35,Noooooo! He’s a joke!,Politics
36,"In November, Tennessee’s top homeland security official said conspiracy theorists were targeting 5G towers. The commissioner of safety was asking for funds to repair damages from these attacks on comms infrastructure.  ",Politics
37,The American people only want President Trump! ,Politics
38,Every preacher in the Bible including Jesus spoke out against corrupt politics. Every single one.,Politics
39,The American people only want President Trump! ,Politics
